date,cases_new,tests_total,icu_covid,positivity_rate,positivity_rate_7d
2023-11-13,184,5746,6,0.03202227636616777,0.09088240575412476
2023-11-15,332,4660,4,0.07124463519313305,0.08923595172997441
2023-11-16,441,4251,8,0.10374029640084687,0.09242405631537444
2023-11-17,439,2711,8,0.16193286610106972,0.10266795662841663
2023-11-18,375,3751,7,0.09997334044254866,0.09744326458607275
2023-11-19,282,5819,8,0.04846193504038494,0.0860698177861533
2023-11-20,291,4124,9,0.07056256062075655,0.08399113002355822
2023-11-21,498,6063,12,0.08213755566551212,0.09115045563775027
2023-11-22,649,5647,11,0.1149282805029219,0.09739097639629155
2023-11-23,618,5165,10,0.1196515004840271,0.09966400555103157
2023-11-24,671,3483,11,0.1926500143554407,0.10405216958737028
2023-11-25,617,4792,10,0.12875626043405677,0.10816401530044287
2023-11-26,642,8383,10,0.0765835619706549,0.11218139057619572
2023-11-27,440,7752,13,0.05675954592363261,0.11020953133374944
2023-11-28,753,8555,13,0.08801870251315021,0.11104969516912631
2023-11-29,1195,8995,17,0.13285158421345192,0.11361016712777347
2023-11-30,1169,6964,13,0.16786329695577254,0.1204975666237371
2023-12-01,1471,5108,11,0.2879796397807361,0.13411608454163645
2023-12-02,1126,8387,8,0.13425539525456062,0.13490167523027982
2023-12-03,1038,14807,7,0.07010197879381373,0.1339757347764454
2023-12-04,906,15606,6,0.058054594386774315,0.13416074169975134
2023-12-05,1598,16037,8,0.09964457192741785,0.13582158018750387
2023-12-06,2061,16067,9,0.1282753469845024,0.13516783201193966
2023-12-07,2501,15449,13,0.16188750080911385,0.13431414684813128
2023-12-08,2099,10738,18,0.19547401750791582,0.1210990579520141
2023-12-09,2554,13530,21,0.18876570583887656,0.12888624517834493
2023-12-10,2288,24158,16,0.0947098269724315,0.1324016520610046
2023-12-11,1795,28343,21,0.06333133401545354,0.1331554720079588
2023-12-12,2496,27318,23,0.09136832857456623,0.13197315152897998
2023-12-13,3432,26141,19,0.13128801499560078,0.1324035326734226
2023-12-14,3923,21443,24,0.1829501469010866,0.135412482115133
2023-12-15,3373,16534,21,0.20400387081166083,0.13663103258709658
2023-12-16,3389,20162,22,0.16808848328538836,0.13367714365088398
2023-12-17,2719,33575,17,0.08098287416232315,0.13171615039229706
